,name,title,start,end,id,specifier
0,Ola Ullsten,Statsminister,1978-10-18,1979-10-12,ola_ullsten_minister_1978,
1,Carl Tham,Energi- och samordningsminister,1978-10-18,1979-10-12,carl_tham_minister_1978,
2,Sven Romanus,Justitieminister,1976-10-08,1979-10-12,sven_romanus_minister_1976,
3,Hans Blix,Utrikes- och biståndsminister,1978-10-18,1979-10-12,hans_blix_minister_1978,
4,Lars De Geer,Försvarsminister,1978-10-18,1979-10-12,lars_de_geer_minister_1978,
5,Gabriel Romanus,Socialminister,1978-10-18,1979-10-12,gabriel_romanus_minister_1978,
6,Hedda Lindahl,Sjukvårdsminister,1978-10-18,1979-10-12,hedda_lindahl_minister_1978,
7,Anitha Bondestam,Kommunikationsminister,1978-10-18,1979-10-12,anitha_bondestam_minister_1978,
8,Ingemar Mundebo,Ekonomiminister,1978-10-18,1979-10-12,ingemar_mundebo_minister_1978,
9,Ingemar Mundebo,Budgetminister,1976-11-25,1980-07-31,ingemar_mundebo_minister_1976,
10,Marianne Wahlberg,Löneminister,1978-10-18,1979-10-12,marianne_wahlberg_minister_1978,
11,Jan-Erik Wikström,Utbildningsminister,1976-10-08,1982-10-08,jan-erik_wikström_minister_1976,
12,Birgit Rodhe,Skolminister,1978-10-18,1979-10-12,birgit_rodhe_minister_1978,
13,Eric Enlund,Jordbruksminister,1978-10-18,1979-10-12,eric_enlund_minister_1978,
14,Hadar Cars,Handelsminister,1978-10-18,1979-10-12,hadar_cars_minister_1978,
15,Rolf Wirtén,Arbetsmarknadsminister,1978-03-07,1980-07-31,rolf_wirtén_minister_1978,
16,Eva Winther,Invandrar- och jämställdhetsminister,1978-10-18,1979-10-12,eva_winther_minister_1978,
17,Birgit Friggebo,Bostadsminister,1978-10-18,1979-10-12,birgit_friggebo_minister_1978,
18,Erik Huss,Industriminister,1978-10-18,1979-10-12,erik_huss_minister_1978,
19,Bertil Hansson,Kommun- och kyrkominister samt minister för nordiskt samarbete,1978-10-18,1979-10-12,bertil_hansson_minister_1978,
20,Göran Persson,Statsminister,1996-03-22,2006-10-06,göran_persson_minister_1996,
21,Lena Hjelm-Wallén,Vice statsminister,1998-10-07,2002-10-21,lena_hjelm-wallén_minister_1998,
22,Margareta Winberg,Vice statsminister,2002-10-21,2003-10-31,margareta_winberg_minister_2002,
23,Lars Engqvist,Vice statsminister,2004-06-01,2004-10-01,lars_engqvist_minister_2004,
24,Bosse Ringholm,Vice statsminister och idrottsminister,2004-11-01,2006-10-06,bosse_ringholm_minister_2004,
25,Leif Pagrotsky,Samordningsminister och Minister för vapenexportfrågor,1996-03-22,1997-02-01,leif_pagrotsky_minister_1996,
26,Thage G Peterson,Samordningsminister och Minister för vapenexportfrågor,1997-02-01,1998-10-07,thage_g_peterson_minister_1997,
27,Pär Nuder,Samordningsminister och Minister för vapenexportfrågor,2002-10-21,2004-10-21,pär_nuder_minister_2002,
28,Bosse Ringholm,Samordningsminister i EU-frågor,2005-01-01,2006-10-06,bosse_ringholm_minister_2005,
29,Laila Freivalds,Justitieminister,1994-10-07,2000-09-21,laila_freivalds_minister_1994,
30,Lena Hjelm-Wallén,Justitieminister,2000-09-21,2000-10-16,lena_hjelm-wallén_minister_2000,
31,Thomas Bodström,Justitieminister,2000-10-16,2006-10-06,thomas_bodström_minister_2000,
32,Britta Lejon,Demokrati- konsument- och förvaltningsminister,1998-10-07,2000-10-16,britta_lejon_minister_1998,
33,Britta Lejon,Demokrati- konsument- ungdoms- och förvaltningsminister,2000-10-16,2002-10-15,britta_lejon_minister_2000,
34,Mona Sahlin,Demokrati- integrations- jämställdhets- och idrottsminister,2000-10-21,2004-10-21,mona_sahlin_minister_2000,
35,Jens Orback,Demokrati- storstads- integrations- och  jämställdhetsminister,2004-10-21,2006-10-06,jens_orback_minister_2004,
36,Lena Hjelm-Wallén,Utrikesminister,1994-10-07,1998-10-07,lena_hjelm-wallén_minister_1994,
37,Anna Lindh,Utrikesminister,1998-10-07,2003-09-11,anna_lindh_minister_1998,
38,Jan O Karlsson,Utrikesminister,2021-09-11,2003-10-10,jan_o_karlsson_minister_2021,
39,Laila Freivalds,Utrikesminister,2003-10-10,2006-03-21,laila_freivalds_minister_2003,
40,Bo Ringholm,Utrikesminister,2006-03-21,2006-03-27,bo_ringholm_minister_2006,
41,Carin Jämtin,Utrikesminister,2006-03-27,2006-04-24,carin_jämtin_minister_2006,
42,Jan Eliasson,Utrikesminister,2006-04-24,2006-10-06,jan_eliasson_minister_2006,
43,Pierre Schori,Biståndsminister,1994-10-07,1999-09-14,pierre_schori_minister_1994,
44,Maj-Inger Klingvall,Biståndsminister,1999-09-14,2001-11-16,maj-inger_klingvall_minister_1999,
45,Jan O Karlssonn ,Biståndsminister,2002-01-07,2003-10-10,jan_o_karlssonn__minister_2002,
46,Carin Jämtin,Biståndsminister,2003-10-10,2006-10-06,carin_jämtin_minister_2003,
47,Pierre Schori,Migrationsminister,1996-03-22,1999-09-14,pierre_schori_minister_1996,
48,Maj-Inger Klingvall,Migrationsminister,1999-09-14,2001-11-16,maj-inger_klingvall_minister_1999,
49,Jan O Karlsson,Migrationsminister,2002-01-07,2003-10-10,jan_o_karlsson_minister_2002,
50,Barbro Holmberg,Migrationsminister,2003-10-10,2006-10-06,barbro_holmberg_minister_2003,
51,Leif Pagrotsky,Utrikeshandelsminister och minister för nordiskt samarbete,1997-02-01,2002-10-21,leif_pagrotsky_minister_1997,
52,Thage G Peterson,Försvarsminister,1994-10-07,1997-02-01,thage_g_peterson_minister_1994,
53,Björn von Sydow,Försvarsminister,1997-02-01,2002-09-30,björn_von_sydow_minister_1997,
54,Lena Hjelm-Wallén,Försvarsminister,2002-09-30,2002-10-21,lena_hjelm-wallén_minister_2002,
55,Pär Nuder,Försvarsminister,2002-10-21,2002-11-03,pär_nuder_minister_2002,
56,Leni Björklund,Försvarsminister,2002-11-04,2006-10-06,leni_björklund_minister_2002,
57,Margot Wallström,Socialminister,1996-03-22,1998-10-07,margot_wallström_minister_1996,
58,Anders Sundström,Socialminister,1998-10-07,1998-10-26,anders_sundström_minister_1998,
59,Maj-Inger Klingvall,Socialminister,1998-10-26,1998-11-16,maj-inger_klingvall_minister_1998,
60,Lars Engqvist,Socialminister,1998-11-16,2004-10-01,lars_engqvist_minister_1998,
61,Berit Andnor,Socialminister,2004-10-01,2006-10-06,berit_andnor_minister_2004,
62,Maj-Inger Klingvall,Socialförsäkringsminister,1996-03-22,1999-09-14,maj-inger_klingvall_minister_1996,
63,Ingela Thalén,Socialförsäkringsminister,1999-09-14,2002-10-10,ingela_thalén_minister_1999,
64,Morgan Johansson,Folkhälso- och socialtjänstminister,2002-10-21,2006-10-06,morgan_johansson_minister_2002,
65,Berit Andnor,Barn- och familjeminister,2002-10-21,2004-10-01,berit_andnor_minister_2002,
66,Ylva Johansson,Vård- och äldreomsorgsminister,2004-10-01,2006-10-06,ylva_johansson_minister_2004,
67,Berit Andnor,Minister för nordiskt samarbete,2002-10-21,2006-10-06,berit_andnor_minister_2002,
68,Ines Uusmann,Kommunikations- och IT-minister,1994-10-07,1998-10-06,ines_uusmann_minister_1994,
69,Björn Rosengren,Kommunikations- och IT-minister,1998-10-07,1998-12-31,björn_rosengren_minister_1998,
70,Erik Åsbrink,Finansminister,1996-03-22,1999-04-12,erik_åsbrink_minister_1996,
71,Bosse Ringholm,Finansminister,1999-04-12,2004-10-21,bosse_ringholm_minister_1999,
72,Pär Nuder,Finansminister,2004-10-21,2006-10-06,pär_nuder_minister_2004,
73,Thomas Östros,Skatte- och bostadsminister,1996-03-22,1998-10-07,thomas_östros_minister_1996,
74,Lars Engqvist,Kommun- och bostadsminister,1998-10-07,1998-11-16,lars_engqvist_minister_1998,
75,Lars-Erik Lövdén,Kommun- och bostadsminister,1998-11-16,2004-10-21,lars-erik_lövdén_minister_1998,
76,Gunnar Lund,Finansmarknadsminister och minister för internationell ekonomi,2002-10-21,2004-10-21,gunnar_lund_minister_2002,
77,Sven-Erik Österberg,Kommun- och finansmarknadsminister,2004-10-21,2006-10-06,sven-erik_österberg_minister_2004,
78,Carl Tham,Utbildningsminister,1994-10-07,1998-10-07,carl_tham_minister_1994,
79,Thomas Östros,Utbildningsminister,1998-10-07,2004-10-21,thomas_östros_minister_1998,
80,Leif Pagrotsky,Utbildningsminister,2004-10-21,2006-10-06,leif_pagrotsky_minister_2004,
81,Leif Pagrotsky,Kulturminister,2005-01-01,2006-10-06,leif_pagrotsky_minister_2005,
82,Ylva Johansson,Skolminister,1994-10-07,1998-10-07,ylva_johansson_minister_1994,
83,Ingegerd Wärnersson,Skolminister,1998-10-07,2002-01-16,ingegerd_wärnersson_minister_1998,
84,Thomas Östros,Skolminister,2002-01-16,2004-10-21,thomas_östros_minister_2002,
85,Ibrahim Baylan,Skolminister,2004-10-21,2006-10-06,ibrahim_baylan_minister_2004,
86,Leif Pagrotsky,Forskningsminister,2004-09-13,2006-10-06,leif_pagrotsky_minister_2004,
87,Lena Hallengren,Förskole- och ungdomsminister minister för vuxnas lärande,2002-10-21,2006-10-06,lena_hallengren_minister_2002,
88,Lena Hallengren,Kyrkominister,2004-09-13,2006-10-06,lena_hallengren_minister_2004,
89,Annika Åhnberg,Jordbruksminister,1996-03-22,1998-10-07,annika_åhnberg_minister_1996,
90,Margareta Winberg,Jordbruks- och jämställdhetsminister,1998-10-07,2002-10-21,margareta_winberg_minister_1998,
91,Ann-Christin Nykvist,Jordbruks- och konsumentminister,2002-10-21,2006-10-06,ann-christin_nykvist_minister_2002,
92,Margareta Winberg,Arbetsmarknadsminister och minister för nordiskt samarbete,1996-03-22,1998-10-07,margareta_winberg_minister_1996,
93,Björn Rosengren,Arbetsmarknadsminister och minister för nordiskt samarbete,1998-10-07,1998-12-31,björn_rosengren_minister_1998,
94,Ulrica Messing,Jämställdhets- och arbetsrättsminister,1996-03-22,1998-10-07,ulrica_messing_minister_1996,
95,Anders Sundström,Näringsminister,1996-03-22,1998-10-07,anders_sundström_minister_1996,
96,Björn Rosengren,Näringsminister,1998-10-07,2002-10-15,björn_rosengren_minister_1998,
97,Mona Sahlin,Näringsminister,2002-10-15,2002-10-21,mona_sahlin_minister_2002,
98,Leif Pagrotsky,Näringsminister,2002-10-21,2004-10-21,leif_pagrotsky_minister_2002,
99,Thomas Östros,Näringsminister,2004-10-21,2006-10-06,thomas_östros_minister_2004,
100,Mona Sahlin,Arbetslivsminister,1998-10-07,2002-10-15,mona_sahlin_minister_1998,
101,Hans Karlsson,Arbetslivsminister,2002-10-15,2006-10-06,hans_karlsson_minister_2002,
102,Ulrica Messing,Infrastrukturminister,2000-10-21,2006-10-07,ulrica_messing_minister_2000,
103,Björn von Sydow,Handelsminister,1996-03-22,1997-02-01,björn_von_sydow_minister_1996,
104,Jörgen Andersson,Civilminister,1996-03-22,1996-06-30,jörgen_andersson_minister_1996,
105,Jörgen Andersson,Inrikesminister,1996-07-01,1998-10-07,jörgen_andersson_minister_1996,
106,Lars Engqvist,Inrikesminister,1998-10-07,1998-11-16,lars_engqvist_minister_1998,
107,Lars-Erik Lövdén,Inrikesminister,1998-11-16,1998-12-31,lars-erik_lövdén_minister_1998,
108,Leif Blomberg,Integrations- idrotts- ungdoms- och konsumentminister,1996-03-22,1998-03-02,leif_blomberg_minister_1996,
109,Lars Engqvist,Integrations- idrotts- ungdoms- och konsumentminister,1998-03-25,1998-10-07,lars_engqvist_minister_1998,
110,Marita Ulvskog,Kulturminister,1996-03-22,2004-09-13,marita_ulvskog_minister_1996,
111,Pär Nuder,Kulturminister,2004-09-13,2004-10-21,pär_nuder_minister_2004,
112,Leif Pagrotsky,Kulturminister,2004-10-21,2004-12-31,leif_pagrotsky_minister_2004,
113,Marita Ulvskog,Kyrkominister,1996-03-22,2004-09-13,marita_ulvskog_minister_1996,
114,Ulrica Messing,Integrations- idrotts- och ungdomsminister,1998-10-07,2000-10-21,ulrica_messing_minister_1998,
115,Anna Lindh,Miljöministern ,1994-10-07,1998-10-07,anna_lindh_minister_1994,
116,Kjell Larsson,Miljöministern ,1998-10-07,2002-10-15,kjell_larsson_minister_1998,
117,Lena Sommestad,Miljöministern ,2002-10-21,2006-10-06,lena_sommestad_minister_2002,
118,Mona Sahlin,Samhällsbyggnads- bostads- och energiminister,2004-10-21,2006-10-06,mona_sahlin_minister_2004,
119,Lena Sommestad,Biträdande miljöminister,2002-01-16,2002-10-21,lena_sommestad_minister_2002,
120,Carl Gustaf Ekman,Statsminister,1926-06-07,1928-10-02,carl_gustaf_ekman_minister_1926,
121,Eliel Löfgren,Utrikesminister,1926-06-07,1928-10-02,eliel_löfgren_minister_1926,
122,Johan Thyrén,Justitieminister,1926-06-07,1928-10-02,johan_thyrén_minister_1926,
123,Gustav Rosén,Försvarsminister,1926-06-07,1928-10-02,gustav_rosén_minister_1926,
124,Jakob Pettersson,Socialminister,1926-06-07,1928-10-02,jakob_pettersson_minister_1926,
125,Carl Meurling,Kommunikationsminister,1926-06-07,1928-10-02,carl_meurling_minister_1926,
126,Carl Gustaf Ekman,Finansminister,1926-06-07,1926-09-30,carl_gustaf_ekman_minister_1926,
127,Ernst Lyberg,Finansminister,1926-09-30,1928-10-02,ernst_lyberg_minister_1926,
128,John Almkvist,Ecklesiastikminister,1926-06-07,1928-10-02,john_almkvist_minister_1926,
129,Paul Hellström,Jordbruksminister,1926-06-07,1927-07-03,paul_hellström_minister_1926,
130,Bo von Stockenström,Jordbruksminister,1927-07-12,1928-10-02,bo_von_stockenström_minister_1927,
131,Felix Hamrin,Handelsminister,1926-06-07,1928-10-02,felix_hamrin_minister_1926,
132,Sigurd Ribbing,Konsultativt statsråd,1926-06-07,1928-10-02,sigurd_ribbing_minister_1926,
133,Natanael Gärde,Konsultativt statsråd,1926-06-07,1928-10-02,natanael_gärde_minister_1926,
134,Ernst Lyberg,Konsultativt statsråd,1926-06-07,2021-09-30,ernst_lyberg_minister_1926,
135,Per Albin Hansson,Statsminister,1945-07-31,1946-10-06,per_albin_hansson_minister_1945,
136,Herman Zetterberg,Justitieminister,1945-07-31,1946-10-06,herman_zetterberg_minister_1945,
137,Östen Undén,Utrikesminister,1945-07-31,1946-10-06,östen_undén_minister_1945,
138,Allan Vougt,Försvarsminister,1945-07-31,1946-10-06,allan_vougt_minister_1945,
139,Gustav Möller,Socialminister,1945-07-31,1946-10-06,gustav_möller_minister_1945,
140,Torsten Nilsson,Kommunikationsminister,1945-07-31,1946-10-06,torsten_nilsson_minister_1945,
141,Ernst Wigforss,Finansminister,1945-07-31,1946-10-06,ernst_wigforss_minister_1945,
142,Tage Erlander,Ecklesiastikminister,1945-07-31,1946-10-06,tage_erlander_minister_1945,
143,Per Edvin Sköld,Jordbruksminister,1945-07-31,1946-10-06,per_edvin_sköld_minister_1945,
144,Gunnar Myrdal,Handelsminister,1945-07-31,1946-10-06,gunnar_myrdal_minister_1945,
145,Axel Gjöres,Folkhushållningsminister,1945-07-31,1946-10-06,axel_gjöres_minister_1945,
146,Gunnar Danielson,Juristkonsult,1945-07-31,1946-10-06,gunnar_danielson_minister_1945,
147,Nils Quensel,Juristkonsult,1945-07-31,1946-10-06,nils_quensel_minister_1945,
148,Eije Mossberg,Bitr socialminister,1945-07-31,1946-10-06,eije_mossberg_minister_1945,
149,Gunnar Sträng,Bitr jordbruksminister,1945-07-31,1946-10-06,gunnar_sträng_minister_1945,
150,John Ericsson,Bränsleminister,1945-07-31,1946-10-06,john_ericsson_minister_1945, i Kinna
151,Stefan Löfven,Statsminister,2021-07-09,,stefan_löfven_minister_2021,
152,Hans Dahlgren,EU-minister,2021-07-09,,hans_dahlgren_minister_2021,
153,Morgan Johansson,Justitie- och migrationsminister,2021-07-09,,morgan_johansson_minister_2021,
154,Mikael Damberg,Inrikesminister,2021-07-09,,mikael_damberg_minister_2021,
155,Ann Linde,Utrikesminister,2021-07-09,,ann_linde_minister_2021,
156,Per Olsson Fridh,Minister för internationellt utvecklingssamarbete,2021-07-09,,per_olsson_fridh_minister_2021,
157,Anna Hallberg,Utrikeshandelsminister ochminister med ansvar för nordiska frågor,2021-07-09,,anna_hallberg_minister_2021,
158,Peter Hultqvist,Försvarsminister,2021-07-09,,peter_hultqvist_minister_2021,
159,Lena Hallengren,Socialminister,2021-07-09,,lena_hallengren_minister_2021,
160,Ardalan Shekarabi,Socialförsäkringsminister,2021-07-09,,ardalan_shekarabi_minister_2021,
161,Magdalena Andersson,Finansminister,2021-07-09,,magdalena_andersson_minister_2021,
162,Lena Micko,Civilminister,2021-07-09,,lena_micko_minister_2021,
163,Åsa Lindhagen,Finansmarknadsminister och biträdande finansminister,2021-07-09,,åsa_lindhagen_minister_2021,
164,Anna Ekström,Utbildningsminister,2021-07-09,,anna_ekström_minister_2021,
165,Matilda Ernkrans,Minister för högre utbildning och forskning,2021-07-09,,matilda_ernkrans_minister_2021,
166,Per Bolund,Miljö- och klimatminister samt vice statsminister,2021-07-09,,per_bolund_minister_2021,
167,Ibrahim Baylan,Näringsminister,2021-07-09,,ibrahim_baylan_minister_2021,
168,Amanda Lind,Kultur- och demokratiminister samtminister med ansvar för idrottsfrågorna,2021-07-09,,amanda_lind_minister_2021,
169,Eva Nordmark,Arbetsmarknadsminister,2021-07-09,,eva_nordmark_minister_2021,
170,Märta Stenevi,Jämställdhets- och bostadsminister med ansvar för stadsutveckling ocharbetet mot segregation och diskriminering,2021-07-09,,märta_stenevi_minister_2021,
171,Tomas Eneroth,Infrastrukturminister,2021-07-09,,tomas_eneroth_minister_2021,
172,Anders Ygeman,Energi- och digitaliseringsminister,2021-07-09,,anders_ygeman_minister_2021,
173,Thorbjörn Fälldin,Statsminister,1976-10-08,1978-10-18,thorbjörn_fälldin_minister_1976,
174,Sven Romanus,Justitieminister,1976-10-08,1978-10-18,sven_romanus_minister_1976,
175,Karin Söder,Utrikesminister,1976-10-08,1978-10-18,karin_söder_minister_1976,
176,Ola Ullsten,Biståndsminister,1976-10-08,1978-10-18,ola_ullsten_minister_1976,
177,Ola Ullsten,Invandrarminister,1977-01-11,1978-03-07,ola_ullsten_minister_1977,
178,Ola Ullsten,Vice statsminister,1978-03-07,1978-10-18,ola_ullsten_minister_1978,
179,Eric Krönmark,Försvarsminister,1976-10-08,1978-10-18,eric_krönmark_minister_1976,
180,Rune Gustavsson,Socialminister,1976-10-08,1978-10-18,rune_gustavsson_minister_1976,
181,Ingegerd Troedsson,Sjukvårdsminister,1976-10-08,1978-10-18,ingegerd_troedsson_minister_1976,
182,Bo Turesson,Kommunikationsminister,1976-10-08,1978-10-18,bo_turesson_minister_1976,
183,Gösta Bohman,Finansminister,1976-10-08,1976-11-25,gösta_bohman_minister_1976,
184,Ingemar Mundebo,Biträdande finansminister,1976-10-08,1976-11-25,ingemar_mundebo_minister_1976,
185,Gösta Bohman,Ekonomiminister,1976-11-25,1978-10-18,gösta_bohman_minister_1976,
186,Ingemar Mundebo,Budgetminister,1976-11-25,1978-10-18,ingemar_mundebo_minister_1976,
187,Jan-Erik Wikström,Utbildningsminister,1976-10-08,1978-10-18,jan-erik_wikström_minister_1976,
188,Britt Mogård,Skolminister,1976-10-08,1978-10-18,britt_mogård_minister_1976,
189,Anders Dahlgren,Jordbruksminister,1976-10-08,1978-10-18,anders_dahlgren_minister_1976,
190,Staffan Burenstam Linder,Handelsminister,1976-10-08,1978-10-18,staffan_burenstam_linder_minister_1976,
191,Per Ahlmark,Arbetsmarknads- och jämställdhetsminister  samt vice statsminister,1976-10-08,1978-03-07,per_ahlmark_minister_1976,
192,Rolf Wirtén,Arbetsmarknads- jämställdhets- och invandrarminister,1978-03-07,1978-10-18,rolf_wirtén_minister_1978,
193,Per Ahlmark,Invandrarminister,1976-10-08,1977-08-24,per_ahlmark_minister_1976,
194,Elvy Olsson,Bostadsminister,1976-10-08,1978-10-18,elvy_olsson_minister_1976,
195,Birgit Friggebo,Biträdande bostadsminister,1976-10-08,1978-10-18,birgit_friggebo_minister_1976,
196,Nils G Åsling,Industriminister,1976-10-08,1978-10-18,nils_g_åsling_minister_1976,
197,Olof Johansson,Energiminister,1976-10-08,1978-10-18,olof_johansson_minister_1976,
198,Johannes Antonsson,Kommun- och kyrkominister samt minister för nordiskt samarbete,1976-10-08,1978-10-18,johannes_antonsson_minister_1976,
199,Per-Albin Hansson,Statsminister,1939-12-13,1945-07-31,per-albin_hansson_minister_1939,
200,Karl Gustaf Westman,Justitieminister,1939-12-13,1943-08-30,karl_gustaf_westman_minister_1939,
201,Thorwald Bergquist,Justitieminister,1943-08-30,1945-07-31,thorwald_bergquist_minister_1943,
202,Christian Günther,Utrikesminister,1939-12-13,1945-07-31,christian_günther_minister_1939,
203,Per Edvin Sköld,Försvarsminister,1939-12-13,1945-07-31,per_edvin_sköld_minister_1939,
204,Gustav Möller,Socialminister,1939-12-13,1945-07-31,gustav_möller_minister_1939,
205,Gustaf Andersson,Kommunikationsminister,1939-12-13,1944-09-30,gustaf_andersson_minister_1939, i Rasjön
206,Fritiof Domö,Kommunikationsminister,1944-09-30,1945-07-31,fritiof_domö_minister_1944,
207,Ernst Wigforss,Finansminister,1939-12-13,1945-07-31,ernst_wigforss_minister_1939,
208,Gösta Bagge,Ecklesiastikminister,1939-12-13,1944-12-15,gösta_bagge_minister_1939,
209,Georg Andrén,Ecklesiastikminister,1944-12-15,1945-07-31,georg_andrén_minister_1944,
210,Axel Pehrsson-Bramstorp,Jordbruksminister,1939-12-13,1945-07-31,axel_pehrsson-bramstorp_minister_1939,
211,Fritiof Domö,Handelsminister,1939-12-13,1941-03-07,fritiof_domö_minister_1939,
212,Herman Eriksson,Handelsminister,1941-03-07,1944-09-30,herman_eriksson_minister_1941,
213,Bertil Ohlin,Handelsminister,1944-09-30,1945-07-31,bertil_ohlin_minister_1944,
214,Herman Eriksson,Folkhushållningsminister,1939-12-13,1941-03-07,herman_eriksson_minister_1939,
215,Axel Gjöres,Folkhushållningsminister,1941-03-07,1945-07-31,axel_gjöres_minister_1941,
216,Nils Quensel,Juristkonsult,1939-12-13,1940-10-11,nils_quensel_minister_1939,
217,Edgar Rosander,Juristkonsult,1940-10-11,1944-09-30,edgar_rosander_minister_1940,
218,Gunnar Danielson,Juristkonsult,1944-09-30,1945-07-31,gunnar_danielson_minister_1944,
219,Thorwald Bergquist,Juristkonsult,1939-12-13,1943-08-30,thorwald_bergquist_minister_1939,
220,Nils Quensel,Juristkonsult,1943-08-30,1945-07-31,nils_quensel_minister_1943,
221,Fritiof Domö,Bränsleminister,1941-03-07,1944-09-30,fritiof_domö_minister_1941,
222,Axel Rubbestad,Bränsleminister,1944-09-30,1945-07-31,axel_rubbestad_minister_1944,
223,Knut G Ewerlöf,Frågor inom finans- och försvarsdep,1941-03-07,1945-07-31,knut_g_ewerlöf_minister_1941,
224,Axel Rubbestad,Civilförsvarsminister,1943-08-30,1944-09-30,axel_rubbestad_minister_1943,
