wiki_id,twitter
Q5581337,bolund
Q241208,IsabellaLovin
Q271230,asaromson
Q2740012,SwedishPM
Q4935873,AnderssonMagda
Q52922,carlbildt
Q321595,RingholmBo
Q444747,M_Wetterstrand
Q966884,SAttefall
Q2938797,SidaCarin
Q3363827,carinagohlsson
Q3373142,marienorden
Q4563096,JennieNilsson
Q4588714,erikullenhag
Q4724776,aliesbati
Q4765508,BrodenAnita
Q4822657,MehmetKaplan
Q4898916,BettyMalmberg
Q4939382,RahmElisabeth
Q4946778,barbroengman
Q4959972,JuliaKronlid
Q4962331,FrkLindahl
Q4968944,lailanaraghi
Q4972645,Desireekd
Q5910434,Martin_Kinnunen
Q5954984,GranLindell
Q5966830,lundhsammeli
Q6093311,MikaelSandstrom
Q4981396,GunillaSvantorp
Q4990177,CamillaWalterss
Q4990503,Ceciliawigstrom
Q4991094,eliza_se
Q5571416,UlfBerg1
Q5575977,perbill
Q6169540,fredrikschulte
Q6187608,lstaxang
Q6209093,Olle_Thorell
Q6255521,andersaakesson
Q10578332,MathiasSundin
Q18202365,idadrougge
Q18202405,EmilssonLena
Q18202412,joharald
Q18238692,almericson
Q18242665,emma_hult
Q18243244,karlsson_maj
Q18245374,danielriazat
Q3358782,HolmbergBarbro
Q231413,MSahlin
Q237522,margotwallstrom
Q3055916,IbrahimBaylan_
Q3141607,bsamhallet
Q3297193,OstrosThomas
Q5388933,AsbrinkErik
Q5887217,johanssonmorgan
Q549955,JanKEliasson
Q918261,goranhagglund
Q3562306,annakarin_hatt
Q4981393,ElisabethSvan
Q297850,BeatriceAsk2
Q447542,marialarsson56
Q457877,EwaBjorling
Q911372,bjorklundjan
Q984112,tolgfors_sten
Q3112958,TobiasBillstrom
Q3540867,MariaArnholm
Q429001,birgittaohlsson
Q439393,annieloof
Q772089,EngstrmHillevi
Q3058054,ErlandssonEskil
Q234872,MalmstromEU
Q458162,CarlssonSwe
Q535342,lenaek
Q946818,larsleijonborg
Q1780398,UlfKristersson
Q5887280,ola_johansson
Q5928457,emilkallstrom
Q5952656,Linander
Q5969317,hjalmarbranting
Q5998644,ValterMutt
Q946708,holmjens
Q1357206,ghokmark
Q2029704,jsjostedt
Q3358494,Mejern
Q3370093,pianilssons
Q3373667,fredrikolovsson
Q3375804,landshovdingy
Q378195,hansrothenberg
Q470630,MinisterPeterE
Q513301,federley
Q513301,federley_eng
Q3372917,mikaeldamberg
Q3374622,evalenajansson
Q3375050,Ygeman
Q104215746,kristinoretorp
Q3373340,jakobsson_leif
Q3373324,MarieGranlund
Q3374751,Charoline
Q3544279,Karinenstrom
Q4118653,abiralsahlani
Q4559562,jessicapolfjard
Q4931118,bokonberg
Q3431836,lenahallengren
Q4961658,BrittaLejon
Q3370194,sverik
Q3115681,maritaulvskog
Q3296958,leifpagrotsky
Q4356431,Ninalundstrom
Q4767537,AnnaTenje
Q4787806,shekarabi
Q4933653,M_Abrahamsson
Q6039678,JohanPehrson
Q6043377,matsperspektiv
Q6172463,ASellstroem
Q6232261,jorgenwarborn
Q6254715,MartinAadahl
Q16594543,dalmaneek
Q18202339,TeresaCarvalho
Q3674337,GulanAvci
Q4354795,mikaelava
Q4934300,amandaagestav
Q4938643,HannahBergstedt
Q4942378,MCederfelt
Q4944866,rossa_d
Q4947860,mariaferm
Q4935938,anderssonulla
Q4949502,MariaGardfjell
Q4957112,wiwiannejoh
Q4962191,AnnikaLillemets
Q4988712,carinaherrstedt
Q4990884,solveigzander
Q5548875,Jabar_Amin
Q5563089,gunnaraxen
Q5572155,StenBergheden
Q5890031,RichardJomshof
Q5737622,JohanForssell
Q5809040,GustafHoffstedt
Q18202362,MariaStenergard
Q18238731,Eskilandersson
Q18245020,mangepersson
Q18335061,mariaweimer
Q18454922,pstalhammar
Q19977344,Cornebjar
Q24701062,tegnr
Q27750419,christianckd
Q30000498,engstrompatrik
Q30035704,faradjkoliev
Q30035679,lassepuess
Q3369258,YlvaJohansson
Q57168710,AnnaSibinska
Q57168695,FruKopparklint
Q57168773,SegerlindElin
Q59269310,annsofiealm
Q60732958,viktorwarnick
Q70407251,_damsgaard
Q70407841,StaffanEklof
Q70886056,aranda_clara
Q70912742,BosseBroman
Q71131688,AsplingLudvig
Q71546781,PerSoderlund_SD
Q5745541,fromisak
Q5780876,PontusHaag
Q5795894,JohanHedin_PLC
Q5801464,FagerstaV
Q5901848,sdkarlsson
Q6007973,pyryniemi
Q6062372,perramhorn
Q4940303,helenabouveng
Q4944988,DomeijAsa
Q4945706,lottaedholm
Q4955459,ChristinaHoej
Q4956893,annajohansson
Q4961647,maria_leissner
Q4962466,TeresLindberg
Q4963441,EvaLohman
Q4953633,EmmaHenriksson
Q4970111,Eva_Nordmark
Q4970253,lizamaria80
Q4972961,karinpilsater
Q4981479,svenssonsmith
Q4982318,ceciliett
Q4984640,jessikavilhelm
Q5629994,bandyprasten
Q5716673,Jonas_Eriksson
Q5737841,jakobforssmed
Q5766898,cfgraf
Q5781437,RogerHaddadLib
Q5891398,anderswjonsson
Q5973694,niclasmalmberg
Q1581082,linde_hans
Q2029325,GustavFridolin
Q3041165,StenNordin
Q3369220,UrbanAhlin
Q3374704,CarinaHagg
Q3675520,FredrikMalm
Q6220743,RolandUtbult
Q6328008,johnnyskalin
Q10575345,MagnusSjodahl
Q16595953,LinaNordquist
Q17265833,RobertHannah85
Q18169826,sotirisdelis
Q24018140,amandalind_
Q18243775,AnnLinde
Q4979119,karolinaskog
Q4980750,strandhall
Q6071900,EdwardRiedl
Q6201234,SvenSallstrom
Q6241556,gabrielwikstrom
Q5616258,jakopdalunde
Q5731042,ThomasFinnborg
Q5756351,MatsGerdau
Q9393603,asainorberg
Q15963975,AdamMarttinen
Q16633140,niklaska
Q16633513,lorentztovatt
Q18202340,Monicahaider
Q18202336,Y_Bladelius
Q18237073,AbdouSaid
Q18243514,robertstenkvist
Q18243853,rasmusling
Q18244644,johannissinen
Q18245444,AzadehRojhan
Q18448419,AgnetaKarlsson
Q18448703,SanneEriksson88
Q6146756,hlanderholm
Q50353136,JohnWidegren
Q56923131,kasirga_kadir
Q57168779,jeth73
Q4970743,martaobminska
Q4972634,jennypetersson
Q4975999,YvonneRuwaida
Q5109205,ChristerW
Q5388484,bengtzboe
Q5554920,joh_and
Q5556973,michaelanefur
Q18202414,walleannas
Q18202415,Vlker
Q18238286,SofiaDammKD
Q6217745,LarsTysklind
Q6240455,MarkusWiechel
Q6256794,oskaroholm
Q16633339,mattiasotto1
Q18202413,AnnaCarenS
Q18237639,AngBengtsson
Q18237754,sdbjalko
Q18239250,matsgreenM
Q18245556,ragsjo
Q19977055,socdemola
Q19977180,AnnaRKihlman
Q19977122,thinkper
Q20095387,johanbuser
Q5863217,AGabelic
Q5887149,mattiasbjo
Q5937190,dagolov
Q5969249,DavidLaang
Q4990215,wasme
Q5388443,centererik
Q5621490,adnandibrani
Q5783589,roberthalef
Q5826571,jonasjacobsson
Q5826586,magnusjacobsson
Q77555,habsburgdouglas
Q271468,gudschy
Q460539,CeciliaWikstrom
Q18245930,lindasnecker
Q18451082,IdaKarkiainen
Q19977216,andersschroder
Q21578777,larrysoder
Q21694214,magdaayoub53
Q23916255,asalindhagen
Q27299991,PlJonson
Q30000205,UlrikaHeindorff
Q4755577,andreasostgote
Q42712344,JMalmqvist
Q50353159,davidlindvall
Q70586981,MarieLouise_HS
Q70611350,jonthorbjornson
Q70621742,AlirezaAkhondi
Q70906950,yasmineeriksson
Q71133291,Anki_Utterstedt
Q71545861,GrubbJorgen
Q105414501,attefjord
Q438397,TomHammarberg
Q714508,hakanjuholt
Q1593545,oloflavesson
Q897282,kristinaaxol
Q104215884,soting
Q4767161,kinbergbatra
Q4769201,AnnickaEngblom
Q4936116,AckoAnkarberg
Q4354054,tuveskanberg
Q4725739,alicebahkuhnke
Q4768959,AnnelieEnochson
Q4919772,bjornsoder
Q4938708,bergstrmstina
Q4941068,brnnstrm2
Q4942281,bodilvalero
Q4943175,AsaCoenraads
Q4946932,GunvorG
Q4951217,rozaguclu
Q16162546,PaulaBieler
Q262285,OhlyLars
Q269859,AsaWestlund
Q18238133,FredrikChs
Q18242588,AnnikaHirvonen
Q18245726,avantis
Q18246258,hsvenneling
Q18923356,JesperSkalberg
Q20652801,magnusaek
Q21561347,insatspatrik
Q26305110,lenabaastad
Q27107494,AnnaVikstrom
Q30035697,aanstrell
Q30035700,vastgotapower
Q61103104,Katja_Nyberg
Q56640168,LeilaAliElmi
Q57168632,blomjuno
Q57168784,jes_wet
Q63741595,TonyHaddou
Q70899253,EnholmMatheus
Q71465386,dennisbegic
Q104215963,hartzellhgi
Q96309257,stefanwiken
Q4967237,lenamicko
Q103821442,s_olle
Q5807932,larshjalmered
Q5816436,HultbergJohan
Q108598507,MargFrans
Q18244660,emmanohren
Q18244376,jmillard81
Q18246550,costberg68
Q18274557,rogerhedlund
Q19724763,eriktaby
Q21531339,1Perarne1
Q26305112,JoarForssell
Q30035676,lskold
Q486892,h_zetterberg
Q518776,jimmieakesson
Q574782,AntiAvsan
Q57168740,ciczie
Q57168756,gunnarssonhanna
Q57168837,carinaodebrink
Q57168719,meijerlouise
Q57168752,lorena_dv
Q25935880,PeterHelander
Q62287348,KdLoord
Q944795,AlfSvenssonKD
Q64404514,malindanielsson
Q30000227,rgustbee
Q65130310,HelenaAntoni1
Q71137014,LindaLindbergs
Q71143822,LolMikael
Q72922068,selinmarkus
Q50353141,YasPosio
Q54365860,jacobsandgren
Q63869806,hampushagman
Q65499866,ARchristiansson
Q57280146,PiaSteensland
Q96323985,elingustafsson8
Q60823070,sofianbroby
Q70529257,KarapetArin
Q70588456,moderatkarlsson
Q70994131,matber
Q71131299,lifvenhage
Q70589038,NoriaManouchi
Q98530561,johannarantsi
Q4948092,LottaFinstorp
Q4951444,penilla
Q4953894,ShadiyeHeydari
Q4958167,SaraKarlsson85
Q4970036,LiseNordin
Q4970153,SkaraCharlotte
Q4970595,NylundWatz
Q4971176,OlssonLiseLotte
Q4973765,SQuicklund
Q4980135,AnnaSteele
Q4981717,CarolineSzyber
Q4987091,lenaasplund
Q4990128,WallnAnna
Q4990451,widegrencecilia
Q5891875,riksdagsmattias
Q5937692,hakanlarsson
Q5962258,PerLodenius
Q6015398,rickardnordin
Q4960356,kekhler
Q4964100,KerstinLundgren
Q4964936,CeciliaMagnuss1
Q4971184,LottaAOlsson
Q4975481,Rosencrantz_J
Q4940950,gudrunbrunegard
Q4941553,AgnetaB
Q4953463,helenehk
Q4955985,pennaosudd
Q4958080,KarinKarlsbro
Q6010550,IngemarNilsson_
Q6014428,LarsAxelNordell
Q3373058,ernkrans
Q4946204,Anna_Ekstrom
Q18177071,regner_asa
Q6247957,NiklasWykman
Q5711551,TomasEneroth
Q15992158,linusbylund
Q16616153,KristinaYngwe
Q16623762,KristinaWinberg
Q18176335,Aida_Hadzialic
Q18202390,MariaStromkvist
Q18202361,SofiaFolster
Q18238235,nooshiit
Q18238432,DennisDioukarev
Q18239164,TinaGhasemi
Q18243097,fornarve
Q18243811,VeronicaLindhol
Q18451520,LawenRedar
Q18600515,danielsaffle
Q19976447,Jonnycato
Q21503959,StefanBNilsson
Q26211839,SDTobbe
Q1040479,CarlSchlyter
Q3370145,PeterJeppsson
Q3374237,hepe
Q3374499,kulturgunilla
Q109828321,jgustafsdotter
Q64524335,martastenevi
Q67207189,teamhallberg
Q5109735,christianholm
Q6030080,MikaelOscarsson
Q6061330,lrahm
Q6068516,patrickreslow
Q6181121,ErikSlottner
Q6192010,Torkild_S
Q6212174,tomastobe
Q6223773,mattiasvepsa
Q4991079,Fiastankar
Q563289,MikaelJansson8
Q1681740,Ericson_ubbhult
Q3358763,greenmonica
Q3373169,KGFdirekt
Q6043976,MatsPertoft
Q6255956,perasling
Q17080318,Ladaktusson
Q4991011,agrenwikstrom
Q5109199,CNylander
Q5554868,JanRAndersson
Q5596130,beckmansasikter
Q4958187,Ulrika_Uppsala
Q4961406,HelenaLeander
Q4971428,ireneoskarsson
Q4971741,veronicapalm
Q4980571,Mariastockhaus
Q4981553,SvenssonSuzanne
Q4982413,ewathalen
Q5803123,RichardHerrey
Q5543999,AndersAhlgren
Q5555515,MaxAndersson
Q5564796,hanifbali
Q5580727,CarlOskar
Q5602835,andreas_carlson
Q4766168,ACHammar
Q4767194,SthlmMayor
Q4933704,TinaAcketoft
Q4941329,buschebba
Q4945880,tinaehn
Q4948373,evaflyborg
Q4949356,idagabrielsson
Q5577436,patrikbjorck
Q5616883,staffand
Q5740653,JosefFranssonSD
Q5743643,egonfrid
Q5786666,KHammarbergh
Q3375042,HilleviLarsson
Q3672886,NPekgul
Q4768957,annelihulthen
Q4936454,Arkelsten
Q5628983,MEinarsson
Q5776889,JonasGunnarsso1
Q70574439,david_josefsson
Q71054855,NordbergMats
Q71455806,cquensel
Q96678443,j_ofverbeck
Q110540198,martinmarmgren
Q110635584,carpebruksort
Q110776549,ackeojanne
Q18649252,DahlqvistMikael
Q19977128,ErikOttoson
Q20156222,Bjorg_Wiechek
Q20652878,LeifNysmed
Q26710616,Serkankose76
Q37013194,Jallow_M
Q42369058,MarleneBurwick
Q61122062,AylinFazelian
Q56164156,VingeHenrik
Q56660151,JohnWeinerhall
Q57168691,ElisabethFalk
Q57168821,jorgen_berglund
Q58769193,magganschroder
Q58837098,jonandsd
Q98744563,ericanadin
Q108765984,melkiaphram
Q4981700,IlonaWaldau
Q4981914,annleso
Q4987958,ulrikacarlsson
Q4989123,ElinLudis
Q30035702,eva_lindh
Q56669198,HermanssonEbba
Q56743173,armanteimouris
Q57168687,emmaberginger
Q57168726,centerHelena
Q57168699,Rebeckalemoine
Q59387749,humlannitton
Q60823132,1989_mikael
Q60823082,kimasa62
Q62745971,rubbestad
Q63344500,nielspaarup
Q63870850,CamillaBrodin
Q70592245,WestergrenSofia
Q70639708,KAO_KD
Q71062310,AngelicaJkpg
Q71132556,fredriklindahl2
Q512590,BorjeVestlund
Q2091911,erikalmqvist
Q2396467,MauricioRojasmr
Q3369252,kentekeroth
Q3375136,AgnetaGille
Q3375840,elgestam
Q5556206,widarandersson
